<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
BVH,20170731,58.90,59.40,58.60,59.10,1029790,58.90,59.40,58.60,59.10,0,38950,55860
BVH,20170728,57.10,57.60,57.10,57.60,238460,57.10,57.60,57.10,57.60,0,56510,24610
BVH,20170727,57.60,57.80,57.20,57.20,207590,57.60,57.80,57.20,57.20,0,41950,27950
BVH,20170726,57.20,57.70,57.20,57.50,355020,57.20,57.70,57.20,57.50,0,0,0
BVH,20170725,57.00,57.50,56.80,57.20,197620,57.00,57.50,56.80,57.20,0,33100,71000
BVH,20170724,57.00,57.40,56.00,57.30,277340,57.00,57.40,56.00,57.30,0,102290,20500
BVH,20170721,57.30,57.70,56.90,57.10,494030,57.30,57.70,56.90,57.10,0,213510,291650
BVH,20170720,57.30,57.80,57.00,57.20,230930,57.30,57.80,57.00,57.20,40000,42520,20000
BVH,20170719,58.10,58.60,57.20,57.30,820160,58.10,58.60,57.20,57.30,0,44840,414410
BVH,20170718,58.60,58.90,58.00,58.10,256930,58.60,58.90,58.00,58.10,0,33390,40800
BVH,20170717,60.50,60.50,58.50,58.90,520880,60.50,60.50,58.50,58.90,40000,99370,70720
BVH,20170714,60.30,60.60,59.70,60.30,624160,60.30,60.60,59.70,60.30,0,106770,50000
BVH,20170713,59.50,60.40,59.00,60.00,855300,59.50,60.40,59.00,60.00,0,71110,58660
BVH,20170712,58.60,60.00,58.30,59.30,576740,58.60,60.00,58.30,59.30,0,15730,6690
BVH,20170711,58.10,58.80,57.90,58.60,272460,58.10,58.80,57.90,58.60,0,15730,6690
BVH,20170710,58.50,58.80,58.00,58.30,219100,58.50,58.80,58.00,58.30,0,12240,8000
BVH,20170707,58.00,59.50,57.90,58.50,573330,58.00,59.50,57.90,58.50,0,8720,600
BVH,20170706,58.00,58.20,57.80,58.00,248030,58.00,58.20,57.80,58.00,0,18360,50360
BVH,20170705,57.60,58.00,57.60,58.00,154730,57.60,58.00,57.60,58.00,0,3870,1350
BVH,20170704,58.30,58.30,57.50,57.60,102910,58.30,58.30,57.50,57.60,0,1050,440
BVH,20170703,57.50,58.60,57.50,58.10,388500,57.50,58.60,57.50,58.10,0,56260,147270
BVH,20170630,57.60,57.90,57.40,57.50,102560,57.60,57.90,57.40,57.50,0,6610,16690
BVH,20170629,57.90,57.90,57.30,57.60,241630,57.90,57.90,57.30,57.60,0,66260,0
BVH,20170628,57.30,57.60,57.20,57.60,222040,57.30,57.60,57.20,57.60,0,98020,0
BVH,20170627,58.00,58.00,57.30,57.30,405630,58.00,58.00,57.30,57.30,0,17840,200
BVH,20170626,57.90,58.20,57.80,57.90,150090,57.90,58.20,57.80,57.90,0,17840,200
BVH,20170623,57.80,58.10,57.40,58.10,315170,57.80,58.10,57.40,58.10,0,19620,1000
BVH,20170622,57.90,58.70,57.80,57.80,205030,57.90,58.70,57.80,57.80,0,51390,14380
BVH,20170621,58.30,58.50,57.80,58.00,473280,58.30,58.50,57.80,58.00,0,37070,8000
BVH,20170620,59.40,59.40,58.60,58.60,149560,59.40,59.40,58.60,58.60,0,45580,4820
BVH,20170619,58.90,59.20,58.60,59.00,316550,58.90,59.20,58.60,59.00,0,76060,99500
BVH,20170616,58.30,58.70,58.10,58.10,2053690,58.30,58.70,58.10,58.10,0,434530,1963050
BVH,20170615,59.00,59.20,58.50,58.60,339540,59.00,59.20,58.50,58.60,0,13430,114680
BVH,20170614,57.60,59.30,57.60,59.20,519510,57.60,59.30,57.60,59.20,0,146980,92990
BVH,20170613,57.20,57.70,57.00,57.70,140310,57.20,57.70,57.00,57.70,0,33290,40910
BVH,20170612,57.80,58.00,57.10,57.20,249260,57.80,58.00,57.10,57.20,0,14980,126960
BVH,20170609,58.10,58.10,57.60,57.80,343170,58.10,58.10,57.60,57.80,0,219430,193590
BVH,20170608,58.30,58.30,57.70,58.00,360020,58.30,58.30,57.70,58.00,0,256760,161100
BVH,20170607,58.50,58.60,57.80,58.30,241510,58.50,58.60,57.80,58.30,0,33530,18400
BVH,20170606,57.70,58.20,57.50,58.10,184850,57.70,58.20,57.50,58.10,0,37750,5000
BVH,20170605,57.50,58.20,57.50,58.00,264830,57.50,58.20,57.50,58.00,0,185200,25590
BVH,20170602,58.40,58.40,57.50,58.00,175430,58.40,58.40,57.50,58.00,0,16910,46100
BVH,20170601,57.30,58.50,57.30,58.20,133770,57.30,58.50,57.30,58.20,0,26950,1000
BVH,20170531,57.60,58.40,57.40,57.60,369500,57.60,58.40,57.40,57.60,0,136180,10920
BVH,20170530,59.20,59.40,58.00,58.00,504320,59.20,59.40,58.00,58.00,0,122270,114190
BVH,20170529,60.30,60.70,59.00,59.50,301650,60.30,60.70,59.00,59.50,0,33580,38600
BVH,20170526,58.40,60.90,58.40,60.00,776220,58.40,60.90,58.40,60.00,0,20720,13490
BVH,20170525,57.90,58.70,57.40,58.30,543640,57.90,58.70,57.40,58.30,0,13520,213110
BVH,20170524,57.90,58.00,57.20,57.50,298300,57.90,58.00,57.20,57.50,0,79210,182260
BVH,20170523,58.00,58.50,57.50,57.90,330680,58.00,58.50,57.50,57.90,0,740,101400
BVH,20170522,57.40,58.80,57.40,58.30,498320,57.40,58.80,57.40,58.30,0,5530,111310
BVH,20170519,57.10,57.60,57.00,57.30,287870,57.10,57.60,57.00,57.30,0,108210,50000
BVH,20170518,57.50,57.60,57.00,57.30,184040,57.50,57.60,57.00,57.30,0,67180,53700
BVH,20170517,56.90,57.70,56.80,57.50,297460,56.90,57.70,56.80,57.50,0,123970,130340
BVH,20170516,57.30,57.40,56.80,57.00,336850,57.30,57.40,56.80,57.00,0,91010,208540
BVH,20170515,58.00,58.10,57.30,57.40,212020,58.00,58.10,57.30,57.40,0,21620,115910
BVH,20170512,57.50,58.40,57.30,57.60,200610,57.50,58.40,57.30,57.60,0,14500,32510
BVH,20170511,57.30,57.70,57.20,57.30,152220,57.30,57.70,57.20,57.30,0,4220,100000
BVH,20170510,57.30,57.50,57.20,57.30,310570,57.30,57.50,57.20,57.30,0,44530,158810
BVH,20170509,57.20,57.60,57.20,57.50,215210,57.20,57.60,57.20,57.50,0,44930,94190
BVH,20170508,58.00,58.00,57.50,57.50,208270,58.00,58.00,57.50,57.50,0,45210,60000
BVH,20170505,57.80,58.10,57.60,58.00,106640,57.80,58.10,57.60,58.00,0,47290,3000
