<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
CTG,20170731,19.70,20.40,19.70,20.40,3214090,19.70,20.40,19.70,20.40,500000,583010,754000
CTG,20170728,19.30,19.75,19.25,19.50,2971010,19.30,19.75,19.25,19.50,300000,202400,600000
CTG,20170727,19.25,19.50,19.20,19.30,1928880,19.25,19.50,19.20,19.30,120000,123500,800000
CTG,20170726,19.25,19.65,19.10,19.45,2445580,19.25,19.65,19.10,19.45,750000,0,0
CTG,20170725,18.70,19.10,18.70,19.10,1131570,18.70,19.10,18.70,19.10,230000,262210,299530
CTG,20170724,18.60,18.75,18.50,18.60,752680,18.60,18.75,18.50,18.60,150000,160800,300000
CTG,20170721,19.00,19.25,18.60,18.60,1833150,19.00,19.25,18.60,18.60,300000,558000,405550
CTG,20170720,18.90,19.00,18.55,19.00,1705080,18.90,19.00,18.55,19.00,300000,31440,1324500
CTG,20170719,18.85,18.90,18.70,18.90,1650820,18.85,18.90,18.70,18.90,714500,1542150,1140100
CTG,20170718,18.80,19.00,18.60,18.60,2311940,18.80,19.00,18.60,18.60,200000,200300,795500
CTG,20170717,19.35,19.40,18.60,18.80,2136590,19.35,19.40,18.60,18.80,0,20000,1101000
CTG,20170714,19.70,19.80,19.30,19.35,904080,19.70,19.80,19.30,19.35,500000,160,965500
CTG,20170713,19.60,19.70,19.30,19.70,1014010,19.60,19.70,19.30,19.70,1500000,591060,1676300
CTG,20170712,19.70,19.70,19.30,19.50,682010,19.70,19.70,19.30,19.50,158000,0,0
CTG,20170711,19.50,19.70,19.20,19.60,1082800,19.50,19.70,19.20,19.60,0,0,0
CTG,20170710,19.90,20.10,18.80,19.60,2645310,19.90,20.10,18.80,19.60,0,0,875430
CTG,20170707,20.35,20.50,19.90,19.90,1805000,20.35,20.50,19.90,19.90,60200,6820,0
CTG,20170706,20.40,20.50,20.25,20.25,1606330,20.40,20.50,20.25,20.25,0,0,0
CTG,20170705,20.50,20.50,20.25,20.40,1118490,20.50,20.50,20.25,20.40,0,70000,0
CTG,20170704,20.70,20.70,20.25,20.35,708720,20.70,20.70,20.25,20.35,100980,4250,6820
CTG,20170703,20.30,20.65,20.20,20.65,2640680,20.30,20.65,20.20,20.65,0,0,0
CTG,20170630,20.20,20.25,20.10,20.25,860890,20.20,20.25,20.10,20.25,0,0,70000
CTG,20170629,20.00,20.50,20.00,20.15,1535240,20.00,20.50,20.00,20.15,40000,0,4250
CTG,20170628,20.10,20.20,19.70,20.15,1301680,20.10,20.20,19.70,20.15,0,30900,0
CTG,20170627,20.30,20.40,20.00,20.00,1475230,20.30,20.40,20.00,20.00,0,0,0
CTG,20170626,19.95,20.55,19.95,20.25,1228390,19.95,20.55,19.95,20.25,100000,0,0
CTG,20170623,19.90,20.00,19.65,20.00,1351710,19.90,20.00,19.65,20.00,190000,0,30900
CTG,20170622,20.30,20.45,19.95,19.95,1834770,20.30,20.45,19.95,19.95,0,3500,0
CTG,20170621,20.90,20.90,19.90,20.25,2667760,20.90,20.90,19.90,20.25,0,7820,0
CTG,20170620,20.90,20.95,20.65,20.90,1962690,20.90,20.95,20.65,20.90,0,7970,0
CTG,20170619,20.55,20.80,20.40,20.70,1575050,20.55,20.80,20.40,20.70,554620,554620,558120
CTG,20170616,20.25,20.60,20.25,20.40,982090,20.25,20.60,20.25,20.40,68000,2200,7820
CTG,20170615,20.20,20.90,20.20,20.45,2805430,20.20,20.90,20.20,20.45,68000,5550,7520
CTG,20170614,20.00,20.45,20.00,20.25,3179340,20.00,20.45,20.00,20.25,0,5940,0
CTG,20170613,19.50,19.90,19.35,19.80,1257110,19.50,19.90,19.35,19.80,0,20,2650
CTG,20170612,19.50,19.70,19.30,19.50,1164340,19.50,19.70,19.30,19.50,0,167170,5550
CTG,20170609,19.55,19.85,19.40,19.40,1210820,19.55,19.85,19.40,19.40,0,10,0
CTG,20170608,19.80,19.90,19.40,19.55,1285490,19.80,19.90,19.40,19.55,0,0,5960
CTG,20170607,19.30,20.05,19.30,19.90,6095440,19.30,20.05,19.30,19.90,0,0,167160
CTG,20170606,18.85,19.25,18.70,19.20,1433850,18.85,19.25,18.70,19.20,330000,50,0
CTG,20170605,19.00,19.10,18.75,18.80,968510,19.00,19.10,18.75,18.80,0,0,0
CTG,20170602,18.70,18.75,18.45,18.70,1569140,18.70,18.75,18.45,18.70,0,0,20
CTG,20170601,18.80,19.10,18.65,18.65,1658360,18.80,19.10,18.65,18.65,0,219810,0
CTG,20170531,18.90,19.15,18.70,18.80,1058830,18.90,19.15,18.70,18.80,0,0,50
