<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
DPM,20170731,23.20,23.30,23.00,23.10,845730,23.20,23.30,23.00,23.10,158100,724060,166610
DPM,20170728,23.10,23.20,23.00,23.20,432220,23.10,23.20,23.00,23.20,0,139420,13410
DPM,20170727,23.40,23.40,23.20,23.20,756810,23.40,23.40,23.20,23.20,0,494010,285660
DPM,20170726,23.20,23.40,23.10,23.35,843150,23.20,23.40,23.10,23.35,0,0,0
DPM,20170725,23.00,23.20,22.90,23.15,536380,23.00,23.20,22.90,23.15,0,272000,2000
DPM,20170724,22.90,23.10,22.85,23.10,473810,22.90,23.10,22.85,23.10,0,217300,6000
DPM,20170721,23.10,23.25,22.90,22.90,664550,23.10,23.25,22.90,22.90,0,138150,38770
DPM,20170720,23.15,23.15,22.95,23.10,659990,23.15,23.15,22.95,23.10,0,129400,10000
DPM,20170719,23.40,23.50,23.20,23.20,607690,23.40,23.50,23.20,23.20,365280,494260,546290
DPM,20170718,23.40,23.70,23.20,23.40,1617990,23.40,23.70,23.20,23.40,360310,1294710,919310
DPM,20170717,24.00,24.00,23.25,23.65,1876250,24.00,24.00,23.25,23.65,361030,1124000,905540
DPM,20170714,24.10,24.20,23.90,24.00,1148340,24.10,24.20,23.90,24.00,0,256090,55000
DPM,20170713,24.45,24.45,24.10,24.10,911440,24.45,24.45,24.10,24.10,128400,573370,137400
DPM,20170712,23.60,24.25,23.45,24.15,2897710,23.60,24.25,23.45,24.15,123000,1038930,385570
DPM,20170711,23.30,23.55,23.25,23.55,1099220,23.30,23.55,23.25,23.55,362570,1038930,385570
DPM,20170710,23.40,23.60,23.15,23.30,801260,23.40,23.60,23.15,23.30,0,245080,44130
DPM,20170707,23.85,24.05,23.35,23.40,1598450,23.85,24.05,23.35,23.40,0,27180,5190
DPM,20170706,23.65,23.85,23.65,23.80,1423830,23.65,23.85,23.65,23.80,0,411590,7370
DPM,20170705,23.60,23.65,23.40,23.60,994620,23.60,23.65,23.40,23.60,0,267100,0
DPM,20170704,23.75,23.80,23.10,23.60,953270,23.75,23.80,23.10,23.60,0,276940,6640
DPM,20170703,23.50,23.80,23.50,23.75,1154780,23.50,23.80,23.50,23.75,20000,467990,19920
DPM,20170630,23.10,23.90,23.10,23.50,3931200,23.10,23.90,23.10,23.50,0,535080,8690
DPM,20170629,22.90,23.15,22.90,23.10,1072690,22.90,23.15,22.90,23.10,0,350190,1120
DPM,20170628,23.05,23.10,22.90,22.95,773470,23.05,23.10,22.90,22.95,0,232670,660
DPM,20170627,22.85,23.35,22.85,23.05,2769080,22.85,23.35,22.85,23.05,31040,122520,0
DPM,20170626,22.95,22.95,22.80,22.85,573150,22.95,22.95,22.80,22.85,0,122520,0
DPM,20170623,22.85,23.10,22.85,22.95,1105100,22.85,23.10,22.85,22.95,0,17720,4000
DPM,20170622,22.55,22.70,22.55,22.70,716720,22.55,22.70,22.55,22.70,0,11440,0
DPM,20170621,22.75,22.75,22.45,22.50,1101290,22.75,22.75,22.45,22.50,0,10460,28840
DPM,20170620,22.75,22.80,22.65,22.70,626120,22.75,22.80,22.65,22.70,0,0,16500
DPM,20170619,22.75,22.80,22.60,22.70,940390,22.75,22.80,22.60,22.70,0,36670,332000
DPM,20170616,22.85,22.85,22.60,22.60,1790280,22.85,22.85,22.60,22.60,0,101250,1243760
DPM,20170615,23.10,23.10,22.75,22.95,973650,23.10,23.10,22.75,22.95,0,220,412690
DPM,20170614,23.10,23.30,22.90,23.10,843080,23.10,23.30,22.90,23.10,157000,381090,380910
DPM,20170613,22.70,23.15,22.60,23.10,3010770,22.70,23.15,22.60,23.10,0,735370,961180
DPM,20170612,22.50,22.65,22.50,22.60,1132440,22.50,22.65,22.50,22.60,0,411040,526360
DPM,20170609,22.75,22.75,22.55,22.60,562000,22.75,22.75,22.55,22.60,0,52210,166100
DPM,20170608,22.55,22.95,22.50,22.70,999640,22.55,22.95,22.50,22.70,0,258840,312400
DPM,20170607,22.70,22.75,22.50,22.50,753600,22.70,22.75,22.50,22.50,0,1000,356300
DPM,20170606,22.55,22.60,22.50,22.50,717610,22.55,22.60,22.50,22.50,0,28400,267000
DPM,20170605,22.75,22.75,22.55,22.55,612820,22.75,22.75,22.55,22.55,50190,252390,433100
DPM,20170602,22.80,22.85,22.55,22.55,622720,22.80,22.85,22.55,22.55,0,202000,442580
DPM,20170601,23.00,23.40,22.80,22.85,776860,23.00,23.40,22.80,22.85,0,267040,288080
