<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
DRC,20170731,27.00,27.15,26.85,26.85,305810,27.00,27.15,26.85,26.85,0,87690,10000
DRC,20170728,27.10,27.20,27.00,27.10,237570,27.10,27.20,27.00,27.10,0,36130,12250
DRC,20170727,27.10,27.40,26.90,27.10,327870,27.10,27.40,26.90,27.10,0,85510,41000
DRC,20170726,27.50,27.50,26.80,27.00,354730,27.50,27.50,26.80,27.00,0,0,0
DRC,20170725,26.55,27.45,26.50,27.40,255080,26.55,27.45,26.50,27.40,0,41870,9650
DRC,20170724,26.75,26.90,26.20,26.60,243400,26.75,26.90,26.20,26.60,0,41990,0
DRC,20170721,27.40,28.10,26.80,26.80,1027050,27.40,28.10,26.80,26.80,0,41680,223200
DRC,20170720,28.80,29.00,28.55,28.60,337040,28.80,29.00,28.55,28.60,0,40450,22410
DRC,20170719,29.10,29.30,28.80,29.00,231140,29.10,29.30,28.80,29.00,70040,90100,140160
DRC,20170718,29.20,29.20,28.50,29.00,445550,29.20,29.20,28.50,29.00,0,1540,100010
DRC,20170717,30.30,30.45,29.25,29.25,614740,30.30,30.45,29.25,29.25,0,30500,197720
DRC,20170714,30.50,30.50,29.95,30.35,193040,30.50,30.50,29.95,30.35,0,4900,14000
DRC,20170713,30.20,30.40,30.00,30.00,336320,30.20,30.40,30.00,30.00,0,23060,28650
DRC,20170712,30.70,30.70,30.25,30.40,265640,30.70,30.70,30.25,30.40,0,39020,4860
DRC,20170711,30.20,30.80,30.15,30.40,350700,30.20,30.80,30.15,30.40,0,39020,4860
DRC,20170710,31.40,31.40,30.10,30.20,723510,31.40,31.40,30.10,30.20,0,29700,8000
DRC,20170707,31.80,32.00,31.40,31.40,526420,31.80,32.00,31.40,31.40,0,29110,11000
DRC,20170706,32.30,32.30,31.80,31.80,428770,32.30,32.30,31.80,31.80,550000,570740,673100
DRC,20170705,32.00,33.30,31.70,32.50,499200,32.00,33.30,31.70,32.50,0,74080,70020
DRC,20170704,31.70,32.00,31.50,31.90,435260,31.70,32.00,31.50,31.90,0,78650,53940
DRC,20170703,32.10,32.30,31.60,31.70,472890,32.10,32.30,31.60,31.70,0,2430,33500
DRC,20170630,32.15,32.15,31.65,32.05,349950,32.15,32.15,31.65,32.05,0,10030,0
DRC,20170629,31.70,32.20,31.40,32.15,937480,31.70,32.20,31.40,32.15,0,43650,72040
DRC,20170628,32.00,32.15,31.40,31.60,388650,32.00,32.15,31.40,31.60,0,29070,50100
DRC,20170627,32.90,32.95,31.70,32.00,631360,32.90,32.95,31.70,32.00,0,99110,72120
DRC,20170626,33.30,33.60,32.80,32.90,604420,33.30,33.60,32.80,32.90,0,99110,72120
DRC,20170623,31.75,33.50,31.55,33.50,1270540,31.75,33.50,31.55,33.50,0,268150,35370
