<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
FPT,20170731,48.50,48.60,48.10,48.35,663380,48.50,48.60,48.10,48.35,0,540,0
FPT,20170728,48.20,48.65,47.90,48.55,1611740,48.20,48.65,47.90,48.55,22000,420,1600
FPT,20170727,48.00,48.65,47.70,48.20,1244010,48.00,48.65,47.70,48.20,0,3030,2040
FPT,20170726,46.70,47.80,46.70,47.80,702050,46.70,47.80,46.70,47.80,0,0,0
FPT,20170725,46.50,46.90,46.20,46.70,592490,46.50,46.90,46.20,46.70,95054,1090,420
FPT,20170724,46.20,46.60,46.00,46.50,596990,46.20,46.60,46.00,46.50,0,0,3030
FPT,20170721,47.00,47.30,46.20,46.20,663330,47.00,47.30,46.20,46.20,0,8060,0
FPT,20170720,46.60,46.90,46.20,46.80,896480,46.60,46.90,46.20,46.80,300000,300300,301080
FPT,20170719,47.80,48.30,46.60,46.90,984170,47.80,48.30,46.60,46.90,100000,100600,100000
FPT,20170718,47.60,48.00,47.35,47.80,866850,47.60,48.00,47.35,47.80,150000,150000,158060
FPT,20170717,48.70,48.70,47.70,48.00,905330,48.70,48.70,47.70,48.00,130000,134870,130300
FPT,20170714,48.85,48.95,48.40,48.70,541080,48.85,48.95,48.40,48.70,0,4740,600
FPT,20170713,47.80,48.85,47.70,48.85,972830,47.80,48.85,47.70,48.85,0,0,0
FPT,20170712,47.90,48.10,47.05,47.95,758630,47.90,48.10,47.05,47.95,223000,0,4740
FPT,20170711,47.90,48.10,47.00,47.60,1027560,47.90,48.10,47.00,47.60,0,0,4740
FPT,20170710,48.20,48.70,47.60,48.20,1816570,48.20,48.70,47.60,48.20,0,0,0
FPT,20170707,48.10,49.40,48.00,48.60,2447400,48.10,49.40,48.00,48.60,7020000,7000840,7011850
FPT,20170706,46.75,47.90,46.60,47.90,1924630,46.75,47.90,46.60,47.90,0,0,0
FPT,20170705,46.50,46.70,46.45,46.70,508490,46.50,46.70,46.45,46.70,150000,150000,150000
FPT,20170704,46.50,46.70,46.30,46.60,922560,46.50,46.70,46.30,46.60,20000,0,2790
FPT,20170703,46.85,46.85,46.30,46.40,662700,46.85,46.85,46.30,46.40,150000,150000,150010
FPT,20170630,46.50,46.85,45.80,46.85,1117400,46.50,46.85,45.80,46.85,100000,100000,100000
FPT,20170629,46.30,46.65,46.30,46.50,730260,46.30,46.65,46.30,46.50,150000,150000,150000
FPT,20170628,45.90,46.40,45.65,46.35,940300,45.90,46.40,45.65,46.35,370000,150000,150200
FPT,20170627,46.50,46.60,45.45,45.70,2818290,46.50,46.60,45.45,45.70,245570,200,0
FPT,20170626,47.85,47.85,46.50,46.70,1375990,47.85,47.85,46.50,46.70,0,200,0
FPT,20170623,47.60,47.80,47.20,47.45,759780,47.60,47.80,47.20,47.45,20000,20000,20000
FPT,20170622,47.30,48.30,47.30,47.60,1244630,47.30,48.30,47.30,47.60,200000,200540,200250
FPT,20170621,46.30,47.50,46.05,47.50,1942410,46.30,47.50,46.05,47.50,0,0,200
FPT,20170620,46.50,46.50,46.00,46.15,762030,46.50,46.50,46.00,46.15,0,0,0
FPT,20170619,46.00,46.40,45.95,46.30,1192040,46.00,46.40,45.95,46.30,150000,0,540
FPT,20170616,45.50,45.75,45.30,45.70,603990,45.50,45.75,45.30,45.70,860000,861090,860000
FPT,20170615,45.25,45.40,45.05,45.40,615030,45.25,45.40,45.05,45.40,0,2260,0
FPT,20170614,45.80,45.80,45.10,45.20,780590,45.80,45.80,45.10,45.20,0,1900,0
FPT,20170613,45.00,45.90,45.00,45.35,1573850,45.00,45.90,45.00,45.35,20000,20000,21090
FPT,20170612,45.00,45.20,44.60,44.70,553000,45.00,45.20,44.60,44.70,0,0,2260
FPT,20170609,44.20,45.50,44.20,45.15,1569640,44.20,45.50,44.20,45.15,60000,60000,61900
FPT,20170608,44.00,44.35,43.70,44.20,630430,44.00,44.35,43.70,44.20,0,0,0
FPT,20170607,44.80,44.80,44.05,44.05,842710,44.80,44.80,44.05,44.05,0,4130,0
FPT,20170606,43.30,44.80,43.30,44.30,1481770,43.30,44.80,43.30,44.30,0,0,0
FPT,20170605,43.60,43.65,43.15,43.25,666610,43.60,43.65,43.15,43.25,200000,200060,200000
FPT,20170602,43.60,43.70,43.10,43.25,809190,43.60,43.70,43.10,43.25,2020000,2000000,2004130
FPT,20170601,43.10,43.50,43.10,43.45,787160,43.10,43.50,43.10,43.45,0,280,0
FPT,20170531,43.00,43.55,43.00,43.00,1063000,43.00,43.55,43.00,43.00,1350000,1351920,1350060
FPT,20170530,42.30,43.65,42.30,43.00,1868870,42.30,43.65,42.30,43.00,170000,10,0
FPT,20170529,42.10,42.70,42.10,42.60,634230,42.10,42.70,42.10,42.60,0,610,280
FPT,20170526,42.60,42.60,42.00,42.10,868540,42.60,42.60,42.00,42.10,0,0,1920
FPT,20170525,43.00,43.00,42.45,42.60,1713400,43.00,43.00,42.45,42.60,0,0,0
FPT,20170524,41.91,41.95,41.61,41.83,1304860,49.20,49.25,48.85,49.10,20000,21000,20610
FPT,20170523,41.45,42.09,41.32,41.61,2066240,48.65,49.40,48.50,48.85,57320,37420,37320
FPT,20170522,41.32,41.78,41.32,41.32,1719610,48.50,49.05,48.50,48.50,0,0,0
FPT,20170519,40.80,41.23,40.71,41.23,718260,47.90,48.40,47.80,48.40,0,450,1000
FPT,20170518,40.85,41.49,40.59,40.80,909220,47.95,48.70,47.65,47.90,0,10000,100
FPT,20170517,40.46,40.89,40.25,40.72,553800,47.50,48.00,47.25,47.80,0,0,0
FPT,20170516,40.72,41.15,40.42,40.46,638370,47.80,48.30,47.45,47.50,0,10,450
FPT,20170515,40.89,40.89,40.68,40.72,506520,48.00,48.00,47.75,47.80,0,100,10000
FPT,20170512,40.97,41.23,40.88,40.89,528780,48.10,48.40,48.00,48.00,0,10330,0
FPT,20170511,40.97,41.23,40.59,40.97,709020,48.10,48.40,47.65,48.10,0,1540,0
FPT,20170510,41.31,41.69,40.97,40.97,1568980,48.50,48.95,48.10,48.10,0,0,100
FPT,20170509,40.21,41.15,40.21,41.14,1168370,47.20,48.30,47.20,48.30,0,11840,10330
FPT,20170508,39.95,40.16,39.86,40.04,367850,46.90,47.15,46.80,47.00,0,100,1540
FPT,20170505,40.04,40.25,39.95,40.12,309370,47.00,47.25,46.90,47.10,0,0,0
FPT,20170504,40.04,40.38,39.95,40.04,692490,47.00,47.40,46.90,47.00,0,0,11840
FPT,20170503,39.78,40.29,39.57,40.04,806650,46.70,47.30,46.45,47.00,20000,20720,20100
FPT,20170428,39.52,39.65,39.18,39.57,444560,46.40,46.55,46.00,46.45,0,0,0
FPT,20170427,39.28,39.79,39.28,39.61,1001040,46.10,46.70,46.10,46.50,1118111,1125221,0
FPT,20170426,39.10,39.23,38.93,39.19,483590,45.90,46.05,45.70,46.00,0,13620,720
FPT,20170425,38.84,39.18,38.76,38.89,602100,45.60,46.00,45.50,45.65,0,0,0
FPT,20170424,39.06,39.23,38.89,38.97,465680,45.85,46.05,45.65,45.75,64700,64710,64700
FPT,20170421,39.36,39.53,39.06,39.06,407700,46.20,46.40,45.85,45.85,20000,22060,33620
FPT,20170420,39.19,39.49,39.02,39.06,526060,46.00,46.35,45.80,45.85,0,1480,0
FPT,20170419,39.19,39.53,39.10,39.19,1132270,46.00,46.40,45.90,46.00,0,410,0
FPT,20170418,38.93,39.19,38.63,39.19,596530,45.70,46.00,45.35,46.00,0,0,2060
FPT,20170417,39.23,39.61,38.93,38.93,1066820,46.05,46.50,45.70,45.70,150000,70260,71480
FPT,20170414,40.12,40.16,39.10,39.23,1444000,47.10,47.15,45.90,46.05,20000,20000,20410
FPT,20170413,40.34,40.55,40.21,40.25,518960,47.35,47.60,47.20,47.25,0,0,0
FPT,20170412,40.03,40.67,39.99,40.51,1296510,47.00,47.75,46.95,47.55,130580,130580,100260
FPT,20170411,40.04,40.30,39.87,39.99,405130,47.00,47.30,46.80,46.95,130000,130000,130000
FPT,20170410,40.04,40.25,39.95,40.04,421960,47.00,47.25,46.90,47.00,173000,173000,173000
FPT,20170407,39.48,40.08,39.48,40.04,900280,46.35,47.05,46.35,47.00,144124,94124,124704
FPT,20170405,40.04,40.04,39.66,39.65,598970,47.00,47.00,46.55,46.55,0,910,0
FPT,20170404,39.49,40.04,39.49,40.04,981010,46.35,47.00,46.35,47.00,0,15120,0
FPT,20170403,40.29,40.46,39.52,39.53,1994720,47.30,47.50,46.40,46.40,20000,20000,20000
FPT,20170331,40.12,40.63,40.03,40.29,1213360,47.10,47.70,47.00,47.30,90000,0,910
FPT,20170330,40.46,40.76,40.12,40.12,752470,47.50,47.85,47.10,47.10,0,0,15120
FPT,20170329,40.38,40.72,40.21,40.46,605170,47.40,47.80,47.20,47.50,26460,26460,26460
FPT,20170328,40.55,41.10,40.29,40.38,1161770,47.60,48.25,47.30,47.40,90000,0,0
FPT,20170327,40.54,40.89,40.25,40.55,1021940,47.60,48.00,47.25,47.60,709900,709900,709900
FPT,20170324,41.23,41.74,40.42,40.63,1937460,48.40,49.00,47.45,47.70,0,0,0
FPT,20170323,39.18,40.89,39.10,40.89,2026020,46.00,48.00,45.90,48.00,0,0,0
FPT,20170322,39.79,39.83,39.27,39.27,1208130,46.70,46.75,46.10,46.10,30000,500,0
FPT,20170321,39.87,40.25,39.70,39.70,1881270,46.80,47.25,46.60,46.60,0,8910,0
