<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
IJC,20170731,10.40,11.00,10.35,11.00,1950810,10.40,11.00,10.35,11.00,0,1000,2600
IJC,20170728,11.00,11.00,10.30,10.30,1112560,11.00,11.00,10.30,10.30,0,590,26040
IJC,20170727,10.30,10.65,10.20,10.65,4023250,10.30,10.65,10.20,10.65,0,100,7830
IJC,20170726,9.37,9.99,9.33,9.99,1151230,9.37,9.99,9.33,9.99,0,0,0
IJC,20170725,9.07,9.37,9.07,9.37,142560,9.07,9.37,9.07,9.37,0,140,4850
IJC,20170724,9.30,9.38,9.00,9.35,312320,9.30,9.38,9.00,9.35,0,22810,0
IJC,20170721,9.41,9.41,9.35,9.40,107820,9.41,9.41,9.35,9.40,0,8020,0
IJC,20170720,9.40,9.50,9.35,9.41,240540,9.40,9.50,9.35,9.41,0,0,0
IJC,20170719,9.44,9.45,9.36,9.39,211480,9.44,9.45,9.36,9.39,0,40200,50740
IJC,20170718,9.48,9.49,9.36,9.44,142150,9.48,9.49,9.36,9.44,177400,20,0
IJC,20170717,9.41,9.53,9.35,9.37,202750,9.41,9.53,9.35,9.37,0,100,5000
IJC,20170714,9.50,9.63,9.47,9.53,336660,9.50,9.63,9.47,9.53,0,0,13600
IJC,20170713,9.64,9.73,9.50,9.59,499410,9.64,9.73,9.50,9.59,0,100,6500
IJC,20170712,9.60,9.69,9.52,9.60,173320,9.60,9.69,9.52,9.60,0,66300,0
IJC,20170711,9.65,9.80,9.50,9.65,150610,9.65,9.80,9.50,9.65,0,66300,0
IJC,20170710,9.73,9.80,9.53,9.65,115250,9.73,9.80,9.53,9.65,150000,0,1600
IJC,20170707,9.48,9.79,9.48,9.70,434390,9.48,9.79,9.48,9.70,47000,90,0
IJC,20170706,9.80,9.82,9.62,9.64,73980,9.80,9.82,9.62,9.64,0,250,0
IJC,20170705,9.80,9.85,9.73,9.80,384770,9.80,9.85,9.73,9.80,0,2300,3330
IJC,20170704,9.70,9.79,9.59,9.77,459760,9.70,9.79,9.59,9.77,0,0,0
IJC,20170703,9.48,9.64,9.42,9.62,427610,9.48,9.64,9.42,9.62,0,0,2500
IJC,20170630,9.50,9.60,9.38,9.48,379140,9.50,9.60,9.38,9.48,0,0,0
IJC,20170629,9.30,9.50,9.20,9.40,535160,9.30,9.50,9.20,9.40,0,0,0
IJC,20170628,9.40,9.40,9.30,9.30,147480,9.40,9.40,9.30,9.30,0,0,2760
IJC,20170627,9.38,9.48,9.25,9.48,383990,9.38,9.48,9.25,9.48,0,40,0
IJC,20170626,9.46,9.46,9.28,9.30,245200,9.46,9.46,9.28,9.30,0,40,0
IJC,20170623,9.36,9.49,9.30,9.46,294650,9.36,9.49,9.30,9.46,0,0,39120
IJC,20170622,9.45,9.50,9.35,9.40,329220,9.45,9.50,9.35,9.40,0,0,41300
IJC,20170621,9.70,9.70,9.44,9.50,169790,9.70,9.70,9.44,9.50,0,0,0
IJC,20170620,9.80,9.80,9.53,9.65,111020,9.80,9.80,9.53,9.65,0,0,10
IJC,20170619,9.73,9.88,9.66,9.75,57710,9.73,9.88,9.66,9.75,0,0,0
IJC,20170616,9.90,9.90,9.70,9.73,102960,9.90,9.90,9.70,9.73,0,0,49900
IJC,20170615,9.80,10.00,9.80,9.84,537610,9.80,10.00,9.80,9.84,0,196000,70870
IJC,20170614,9.69,10.00,9.68,9.80,317500,9.69,10.00,9.68,9.80,0,0,107440
IJC,20170613,9.60,9.70,9.50,9.68,164510,9.60,9.70,9.50,9.68,0,44000,0
IJC,20170612,9.60,9.60,9.40,9.58,197500,9.60,9.60,9.40,9.58,0,84970,0
IJC,20170609,9.54,9.60,9.36,9.60,174010,9.54,9.60,9.36,9.60,0,13190,800
IJC,20170608,9.40,9.50,9.35,9.50,149700,9.40,9.50,9.35,9.50,0,0,6500
IJC,20170607,9.30,9.55,9.30,9.42,282840,9.30,9.55,9.30,9.42,0,0,0
IJC,20170606,9.35,9.44,9.21,9.40,258610,9.35,9.44,9.21,9.40,0,0,0
