<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
MBB,20170731,23.50,24.10,23.35,23.80,4983080,23.50,24.10,23.35,23.80,50000,0,1040
MBB,20170728,22.20,23.50,22.20,23.50,6617260,22.20,23.50,22.20,23.50,0,13100,0
MBB,20170727,22.10,22.45,22.00,22.20,2184450,22.10,22.45,22.00,22.20,0,0,0
MBB,20170726,22.20,22.65,21.90,22.10,3812770,22.20,22.65,21.90,22.10,551156,0,0
MBB,20170725,20.60,22.10,20.60,22.10,3568050,20.60,22.10,20.60,22.10,50000,0,13100
MBB,20170724,20.40,20.70,20.20,20.70,1455550,20.40,20.70,20.20,20.70,0,0,0
MBB,20170721,20.80,20.90,20.30,20.30,1073920,20.80,20.90,20.30,20.30,753557,753987,753557
MBB,20170720,20.50,20.80,20.20,20.80,851450,20.50,20.80,20.20,20.80,1300000,1300000,1300000
MBB,20170719,20.95,20.95,20.50,20.50,639030,20.95,20.95,20.50,20.50,0,10,0
MBB,20170718,20.55,20.85,20.00,20.70,1387350,20.55,20.85,20.00,20.70,378880,378880,378880
MBB,20170717,21.05,21.40,20.55,20.60,2596150,21.05,21.40,20.55,20.60,0,10,430
MBB,20170714,21.35,21.50,21.15,21.25,798560,21.35,21.50,21.15,21.25,0,0,0
MBB,20170713,21.30,21.40,21.10,21.35,817410,21.30,21.40,21.10,21.35,0,0,0
MBB,20170712,21.40,21.50,21.30,21.30,1480640,21.40,21.50,21.30,21.30,0,0,0
MBB,20170711,20.75,21.20,20.50,21.20,3201390,20.75,21.20,20.50,21.20,60000,0,0
MBB,20170710,21.30,21.40,20.60,20.75,3314790,21.30,21.40,20.60,20.75,0,0,0
MBB,20170707,21.75,21.90,21.35,21.40,3173960,21.75,21.90,21.35,21.40,100000,100000,100000
MBB,20170706,21.95,21.95,21.70,21.80,1754800,21.95,21.95,21.70,21.80,0,1050,0
MBB,20170705,21.90,22.00,21.50,21.75,3363150,21.90,22.00,21.50,21.75,250000,250000,250050
MBB,20170704,22.25,22.25,21.80,22.00,2803570,22.25,22.25,21.80,22.00,0,0,0
MBB,20170703,22.50,22.55,22.20,22.25,1489400,22.50,22.55,22.20,22.25,0,0,1050
MBB,20170630,22.30,22.75,22.30,22.30,2209720,22.30,22.75,22.30,22.30,2843239,2843239,2843239
MBB,20170629,22.00,22.40,21.85,22.30,2200730,22.00,22.40,21.85,22.30,0,0,0
