<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
PNJ,20170731,104.00,104.50,102.60,103.90,243880,104.00,104.50,102.60,103.90,782821,782821,782821
PNJ,20170728,101.00,103.50,101.00,103.10,221370,101.00,103.50,101.00,103.10,0,0,500
PNJ,20170727,101.50,103.50,100.80,101.00,281740,101.50,103.50,100.80,101.00,35000,35000,35000
PNJ,20170726,98.00,101.50,98.00,101.50,623840,98.00,101.50,98.00,101.50,0,0,0
PNJ,20170725,97.00,97.80,97.00,97.40,193000,97.00,97.80,97.00,97.40,0,0,0
PNJ,20170724,96.00,97.20,96.00,97.20,116100,96.00,97.20,96.00,97.20,0,0,0
PNJ,20170721,97.80,97.80,96.10,96.90,175940,97.80,97.80,96.10,96.90,0,0,0
PNJ,20170720,97.00,98.00,96.60,97.30,293750,97.00,98.00,96.60,97.30,0,0,0
PNJ,20170719,96.30,97.80,96.00,96.80,135920,96.30,97.80,96.00,96.80,0,0,0
PNJ,20170718,95.50,97.00,95.50,95.90,197410,95.50,97.00,95.50,95.90,0,0,0
PNJ,20170717,97.00,97.50,95.80,96.00,232820,97.00,97.50,95.80,96.00,0,0,0
PNJ,20170714,97.30,98.00,96.70,97.30,189370,97.30,98.00,96.70,97.30,0,0,0
PNJ,20170713,98.20,98.20,96.50,97.30,111760,98.20,98.20,96.50,97.30,0,580,0
PNJ,20170712,95.60,98.20,95.30,98.00,372190,95.60,98.20,95.30,98.00,0,0,0
PNJ,20170711,95.70,96.50,94.60,95.60,570600,95.70,96.50,94.60,95.60,0,0,0
PNJ,20170710,99.00,99.00,95.20,95.70,573510,99.00,99.00,95.20,95.70,50000,0,580
PNJ,20170707,98.10,101.00,98.10,99.00,495050,98.10,101.00,98.10,99.00,0,0,0
PNJ,20170706,102.30,102.30,98.00,99.00,657330,102.30,102.30,98.00,99.00,50000,0,0
PNJ,20170705,104.30,104.50,101.50,101.90,453550,104.30,104.50,101.50,101.90,0,0,0
PNJ,20170704,103.50,103.90,102.30,103.00,103730,103.50,103.90,102.30,103.00,41000,41000,41000
PNJ,20170703,102.20,104.40,101.80,103.50,187870,102.20,104.40,101.80,103.50,563596,0,0
PNJ,20170630,102.00,102.80,101.80,101.80,367240,102.00,102.80,101.80,101.80,270000,0,0
PNJ,20170629,101.90,103.00,101.80,102.00,295150,101.90,103.00,101.80,102.00,0,0,0
PNJ,20170628,102.00,103.00,101.50,101.90,308680,102.00,103.00,101.50,101.90,0,0,0
PNJ,20170627,104.00,104.00,102.00,102.00,242790,104.00,104.00,102.00,102.00,0,0,0
PNJ,20170626,102.90,106.90,102.80,104.00,342730,102.90,106.90,102.80,104.00,0,0,0
PNJ,20170623,98.50,104.80,98.00,102.00,970190,98.50,104.80,98.00,102.00,720000,0,0
PNJ,20170622,98.00,100.00,98.00,98.30,570070,98.00,100.00,98.00,98.30,0,0,0
PNJ,20170621,96.20,96.90,96.10,96.70,211270,96.20,96.90,96.10,96.70,0,0,0
PNJ,20170620,96.00,96.50,95.30,96.50,133140,96.00,96.50,95.30,96.50,0,0,0
PNJ,20170619,96.50,96.80,95.70,96.00,195590,96.50,96.80,95.70,96.00,100000,0,0
PNJ,20170616,96.80,97.30,95.90,96.50,288080,96.80,97.30,95.90,96.50,50000,0,0
