<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
PVF,20130924,4.20,4.20,4.10,4.20,2932220,4.20,4.20,4.10,4.20,0,20110,0
PVF,20130923,4.20,4.20,4.10,4.20,2932220,4.20,4.20,4.10,4.20,0,20110,213250
PVF,20130920,3.60,4.00,3.60,4.00,24167710,3.60,4.00,3.60,4.00,20000,1629540,16269850
PVF,20130919,3.80,3.80,3.80,3.80,586050,3.80,3.80,3.80,3.80,20000,10,179660
PVF,20130918,4.00,4.00,4.00,4.00,455960,4.00,4.00,4.00,4.00,35000,200,59970
PVF,20130917,4.30,4.30,4.30,4.30,134760,4.30,4.30,4.30,4.30,100000,740,0
PVF,20130916,4.60,4.60,4.60,4.60,14240,4.60,4.60,4.60,4.60,180000,0,12310
PVF,20130913,4.90,4.90,4.90,4.90,129630,4.90,4.90,4.90,4.90,0,10190,19990
PVF,20130912,5.20,5.20,5.20,5.20,417560,5.20,5.20,5.20,5.20,0,2810,146350
PVF,20130911,5.90,5.90,5.50,5.50,1608160,5.90,5.90,5.50,5.50,0,9260,0
PVF,20130910,6.10,6.10,5.80,5.90,905250,6.10,6.10,5.80,5.90,0,1320,0
PVF,20130909,6.20,6.20,6.00,6.10,725620,6.20,6.20,6.00,6.10,0,9200,0
PVF,20130906,6.20,6.40,6.20,6.30,756980,6.20,6.40,6.20,6.30,0,109090,0
PVF,20130905,6.20,6.30,6.10,6.20,569190,6.20,6.30,6.10,6.20,0,7300,0
PVF,20130904,6.30,6.30,6.10,6.20,916780,6.30,6.30,6.10,6.20,0,179000,0
PVF,20130903,6.30,6.50,6.20,6.30,382590,6.30,6.50,6.20,6.30,0,1000,37890
PVF,20130830,6.30,6.40,6.20,6.30,921750,6.30,6.40,6.20,6.30,0,43700,450730
PVF,20130829,6.40,6.50,6.30,6.30,937600,6.40,6.50,6.30,6.30,0,0,411600
PVF,20130828,6.40,6.50,6.30,6.40,1315180,6.40,6.50,6.30,6.40,0,0,124660
PVF,20130827,6.60,6.70,6.50,6.50,653400,6.60,6.70,6.50,6.50,0,0,37900
PVF,20130826,6.60,6.70,6.40,6.60,1454020,6.60,6.70,6.40,6.60,0,200,37900
PVF,20130823,6.80,6.80,6.50,6.60,1069050,6.80,6.80,6.50,6.60,0,15000,227340
PVF,20130822,7.10,7.20,6.80,6.80,1514430,7.10,7.20,6.80,6.80,0,10,37880
PVF,20130821,6.60,6.90,6.50,6.90,2243450,6.60,6.90,6.50,6.90,0,0,10
PVF,20130820,6.70,6.70,6.50,6.50,534740,6.70,6.70,6.50,6.50,0,0,83910
PVF,20130819,6.60,6.80,6.60,6.70,676320,6.60,6.80,6.60,6.70,0,2020,177780
PVF,20130816,6.70,6.80,6.60,6.70,711690,6.70,6.80,6.60,6.70,0,3000,0
PVF,20130815,6.30,6.80,6.20,6.70,1009280,6.30,6.80,6.20,6.70,0,20000,0
