<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SSI,20170731,25.90,26.35,25.85,26.30,4547380,25.90,26.35,25.85,26.30,0,695480,350000
SSI,20170728,25.50,26.00,25.45,25.85,3213330,25.50,26.00,25.45,25.85,0,112050,352050
SSI,20170727,25.60,25.75,25.45,25.55,3620350,25.60,25.75,25.45,25.55,0,185730,833960
SSI,20170726,25.35,25.65,25.20,25.60,4324720,25.35,25.65,25.20,25.60,0,0,0
SSI,20170725,24.75,25.25,24.65,25.25,2942910,24.75,25.25,24.65,25.25,120000,91580,780530
SSI,20170724,25.00,25.20,24.75,24.75,2785230,25.00,25.20,24.75,24.75,0,33800,364130
SSI,20170721,25.70,25.70,24.95,25.40,4105620,25.70,25.70,24.95,25.40,0,105240,1489900
SSI,20170720,25.10,25.35,24.80,25.30,5627150,25.10,25.35,24.80,25.30,33000,176830,1532710
SSI,20170719,25.55,25.65,25.10,25.20,3402230,25.55,25.65,25.10,25.20,823650,918670,1649850
SSI,20170718,25.60,25.70,25.10,25.25,4271440,25.60,25.70,25.10,25.25,812440,1053220,1551810
SSI,20170717,26.90,26.90,25.55,25.70,4984560,26.90,26.90,25.55,25.70,2094080,2376920,2642640
SSI,20170714,26.75,27.25,26.70,26.80,4038140,26.75,27.25,26.70,26.80,273000,1116620,1600390
SSI,20170713,26.55,26.70,26.50,26.65,2098440,26.55,26.70,26.50,26.65,0,51730,307920
SSI,20170712,27.00,27.15,26.55,26.60,2688120,27.00,27.15,26.55,26.60,0,921030,1839040
SSI,20170711,26.65,26.85,26.20,26.80,4365510,26.65,26.85,26.20,26.80,817540,921030,1839040
SSI,20170710,27.50,27.60,26.65,26.65,6248380,27.50,27.60,26.65,26.65,0,117130,995780
SSI,20170707,28.55,28.55,27.10,27.50,8004690,28.55,28.55,27.10,27.50,255000,219330,1120280
SSI,20170706,28.70,29.00,28.60,28.60,3921060,28.70,29.00,28.60,28.60,45000,376630,825380
SSI,20170705,28.25,28.35,28.10,28.30,2157440,28.25,28.35,28.10,28.30,0,93750,668350
SSI,20170704,28.05,28.25,27.95,28.25,3945450,28.05,28.25,27.95,28.25,0,126460,905070
SSI,20170703,28.00,28.25,27.80,27.95,5285670,28.00,28.25,27.80,27.95,0,162650,894420
SSI,20170630,27.55,27.65,27.40,27.65,2278220,27.55,27.65,27.40,27.65,0,579590,88620
SSI,20170629,27.50,27.75,27.35,27.50,2457240,27.50,27.75,27.35,27.50,0,275040,33650
SSI,20170628,26.95,27.40,26.85,27.40,3526870,26.95,27.40,26.85,27.40,0,1339620,65030
SSI,20170627,27.50,27.55,26.95,26.95,2752530,27.50,27.55,26.95,26.95,0,112330,409980
SSI,20170626,27.30,27.60,27.30,27.45,2680120,27.30,27.60,27.30,27.45,80000,112330,409980
SSI,20170623,27.50,27.50,26.90,27.30,4040440,27.50,27.50,26.90,27.30,0,62770,75500
SSI,20170622,27.65,27.65,27.20,27.35,3594520,27.65,27.65,27.20,27.35,0,319330,192930
SSI,20170621,27.40,27.60,27.10,27.40,5752750,27.40,27.60,27.10,27.40,0,409520,361360
SSI,20170620,28.10,28.15,27.50,27.55,5364220,28.10,28.15,27.50,27.55,97000,449110,299430
SSI,20170619,26.90,27.80,26.80,27.70,6069550,26.90,27.80,26.80,27.70,0,440340,474480
SSI,20170616,26.40,26.80,26.35,26.60,5066760,26.40,26.80,26.35,26.60,0,189140,3281050
SSI,20170615,26.50,26.65,26.35,26.40,3162870,26.50,26.65,26.35,26.40,0,51810,573400
SSI,20170614,26.90,26.90,26.40,26.50,3100170,26.90,26.90,26.40,26.50,0,286390,400510
SSI,20170613,26.30,26.75,26.25,26.60,3306640,26.30,26.75,26.25,26.60,365000,760850,332700
SSI,20170612,26.40,26.60,26.15,26.30,3962400,26.40,26.60,26.15,26.30,55000,17920,401020
