<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VCB,20170731,37.50,37.90,37.50,37.75,1097910,37.50,37.90,37.50,37.75,0,212620,597790
VCB,20170728,37.35,37.80,37.30,37.50,1246630,37.35,37.80,37.30,37.50,0,268480,614110
VCB,20170727,37.40,37.55,37.35,37.35,661800,37.40,37.55,37.35,37.35,0,295490,208280
VCB,20170726,37.45,37.60,37.20,37.40,1240450,37.45,37.60,37.20,37.40,0,0,0
VCB,20170725,37.20,37.35,36.90,37.30,483370,37.20,37.35,36.90,37.30,0,14860,216260
VCB,20170724,37.00,37.30,36.65,37.30,914230,37.00,37.30,36.65,37.30,0,416530,287800
VCB,20170721,37.60,37.70,37.00,37.00,1058900,37.60,37.70,37.00,37.00,0,341540,280950
VCB,20170720,37.50,37.60,37.10,37.45,1086130,37.50,37.60,37.10,37.45,0,602760,265510
VCB,20170719,37.80,37.95,37.50,37.60,1170570,37.80,37.95,37.50,37.60,662410,1139810,1224080
VCB,20170718,37.60,38.00,37.55,37.75,1396110,37.60,38.00,37.55,37.75,653400,1678710,1136710
VCB,20170717,38.25,38.35,37.70,37.70,703340,38.25,38.35,37.70,37.70,654710,935490,777210
VCB,20170714,38.20,38.35,38.05,38.25,386280,38.20,38.35,38.05,38.25,0,157610,102450
VCB,20170713,38.50,38.50,38.00,38.20,467540,38.50,38.50,38.00,38.20,0,192740,131850
VCB,20170712,38.50,38.50,37.85,38.00,1299690,38.50,38.50,37.85,38.00,0,1021760,807500
VCB,20170711,38.00,38.30,37.60,38.30,1103920,38.00,38.30,37.60,38.30,657500,1021760,807500
VCB,20170710,38.90,39.10,38.00,38.10,1364350,38.90,39.10,38.00,38.10,0,153250,241350
VCB,20170707,39.50,39.65,38.70,38.70,1164990,39.50,39.65,38.70,38.70,0,54040,3830
VCB,20170706,38.80,39.50,38.80,39.35,2378800,38.80,39.50,38.80,39.35,0,1315730,312270
VCB,20170705,39.00,39.00,38.45,38.85,799160,39.00,39.00,38.45,38.85,0,443270,148830
VCB,20170704,39.00,39.00,38.50,38.70,819980,39.00,39.00,38.50,38.70,0,374560,18520
VCB,20170703,38.50,39.15,38.40,38.90,1812960,38.50,39.15,38.40,38.90,64050,695650,135420
VCB,20170630,38.30,38.60,38.10,38.50,854400,38.30,38.60,38.10,38.50,0,496930,230870
VCB,20170629,38.30,38.35,37.90,38.20,841580,38.30,38.35,37.90,38.20,61500,359230,210060
