symbol	subsectorcode	industryname	supersector	sector	subsector	foundingdate	chartercapital	numberofemployee	banknumberofbranch	companyprofile	listingdate	exchange	firstprice	issueshare	listedvalue	companyname	ttmtype	marketcap	sharesoutstanding	bv	beta	eps	dilutedeps	pe	pb	dividendyield	totalrevenue	profit	asset	roe	roa	npl	financialleverage
HMS	2357	Công nghiệp	Xây dựng và Vật liệu	Xây dựng và Vật liệu	Xây dựng	09/02/2006 17:06:00	80000000000.0	2943	0	&lt;DIV style=&quot;FONT-FAMILY: Arial; FONT-SIZE: 10pt;&quot;&gt;C&#244;ng ty Cổ phần X&#226;y dựng Bảo t&#224;ng Hồ Ch&#237; Minh (HMS)&amp;nbsp;c&#243; tiền th&#226;n l&#224; C&#244;ng ty X&#226;y dựng 75808, được th&#224;nh lập v&#224;o năm 1975. C&#244;ng ty hoạt động ch&#237;nh trong lĩnh vực x&#226;y lắp c&#225;c c&#244;ng tr&#236;nh d&#226;n dụng, c&#244;ng tr&#236;nh c&#244;ng nghiệp v&#224; giao th&#244;ng thủy lợi.&amp;nbsp;B&#234;n cạnh&amp;nbsp;đ&#243;, HMS&amp;nbsp;c&#242;n hoạt động trong lĩnh vực&amp;nbsp;đầu tư ph&#225;t triển&amp;nbsp;bất động sản v&#224; sản xuất kinh doanh&amp;nbsp;vật liệu x&#226;y dựng. C&#244;ng ty ch&#237;nh thức hoạt động theo m&#244; h&#236;nh c&#244;ng ty cổ phần từ th&#225;ng 02/2006. C&#225;c c&#244;ng tr&#236;nh ti&#234;u biểu của HCMC bao gồm Viện bảo t&#224;ng Hồ Ch&#237; Minh, Trụ sở UBND tỉnh Bắc Kạn, Trung t&#226;m HS-97 Bộ C&#244;ng an, C&#244;ng tr&#236;nh ARTEEXPORT Building, T&#242;a nh&#224; căn hộ Garden Suites, Trụ sở Bộ C&#244;ng Thương.&lt;/DIV&gt;	05/06/2017 00:00:00	Upcom	20000.0	8000000.0	0	Công ty Cổ phần Xây dựng Bảo tàng Hồ Chí Minh	0	172000000000.0	8000000.0	46453.1249411250	0.1409475592	5565.5840832500	5565.5840832500	3.8630267153	0.4628321567	0.0697674419	1099540125673.0	44519609442.0	1227697512716.0	0.1168562072	0.0323037566	0.0000000000	2.1018554595
ILA	3573	Hàng Tiêu dùng	Thực phẩm và đồ uống	Sản xuất thực phẩm	Nuôi trồng nông & hải sản	18/09/2014 00:00:00	169999930000.0	35	0	&lt;DIV style=&quot;FONT-FAMILY: Arial; FONT-SIZE: 10pt;&quot;&gt;C&#244;ng ty Cổ phần&amp;nbsp;ILA (ILA) c&#243; tiền th&#226;n l&#224; C&#244;ng ty Cổ phần Đầu tư C&#244;ng nghệ Trường Thịnh được th&#224;nh lập v&#224;o&amp;nbsp;năm 2014.&amp;nbsp;C&#244;ng ty hoạt động trong lĩnh vực kinh doanh thương mại c&#224; ph&#234;, h&#224;ng h&#243;a thiết bị cơ điện, dịch vụ&amp;nbsp;logistics. C&#244;ng ty tham gia ph&#225;t triển c&#225;c sản phẩm c&#224; ph&#234; chế biến, c&#225;c sản phẩm c&#224; ph&#234; sạch th&#244;ng qua c&#244;ng ty con - C&#244;ng ty TNHH T&#237;n Th&#224;nh Đạt, v&#224; cung cấp dịch vụ&amp;nbsp;cho thu&#234; kho lữu trữ h&#224;ng h&#243;a&amp;nbsp;th&#244;ng qua c&#244;ng ty con - C&#244;ng ty Cổ phần Đầu tư 579. B&#234;n cạnh đ&#243;, C&#244;ng ty cũng tham gia cung cấp v&#224; thi c&#244;ng&amp;nbsp;thiết bị cơ&amp;nbsp;điện tại khu biệt thự Victoria - Vinhomes Golden River tại Quận 1 - th&#224;nh phố Hồ Ch&#237; Minh, chung cư Geleximco tại Ho&#224;i Đức - H&#224; Nội, Nh&#224; điều h&#224;nh Kh&#225;ch sạn JW Marriott, H&#224; Nội CIPUTRA International City, Madarin Garden H&#224; Nội, Tổ hợp Chung cư TimesCity Park Hill, Royal City. ILA được giao dịch tr&#234;n thị trường UPCOM từ cuối th&#225;ng 11/2017.&lt;/DIV&gt;	28/11/2017 00:00:00	Upcom	11300.0	16999993.0	57799976200.00	Công ty Cổ phần ILA	1	56847976592.0	16999993.0	10130.0940731564	-1.2066936462	450.8761411843	450.8761411843	7.4166709980	0.3301055228	0.0000000000	291961854517.0	146091433.0	185009972964.0	0.0358842909	0.0349461023	0.0000000000	0.0552379569
KBE	5557	Dịch vụ Tiêu dùng	Truyền thông	Truyền thông	Sách, ấn bản & sản phẩm văn hóa	27/08/1982 09:01:00	12310600000.0	94	5	&lt;DIV style=&quot;FONT-FAMILY: Arial; FONT-SIZE: 10pt;&quot;&gt;C&#244;ng ty Cổ phần S&#225;ch v&#224; Thiết bị trường học Ki&#234;n Giang (KBE),&amp;nbsp;tiền th&#226;n l&#224; C&#244;ng ty S&#225;ch thiết bị&amp;nbsp;Trường học Ki&#234;n Giang, được th&#224;nh lập năm 1982. Năm 2007 c&#244;ng ty chuyển sang hoạt động theo m&#244; h&#236;nh c&#244;ng ty cổ phần.&amp;nbsp;Hoạt&amp;nbsp;động kinh doanh ch&#237;nh của c&#244;ng ty l&#224;: Mua b&#225;n, ph&#225;t h&#224;nh c&#225;c loại s&#225;ch, thiết bị dạy học, văn ph&#242;ng phẩm, văn h&#243;a phẩm ; In ấn, li&#234;n kết in ấn c&#225;c loại.&amp;nbsp;C&#244;ng ty l&#224; doanh nghiệp độc quyền cung cấp c&#225;c loại s&#225;ch gi&#225;o dục tr&#234;n địa b&#224;n tỉnh Ki&#234;n Giang. C&#244;ng ty hiện đang quản l&#253; hệ thống&amp;nbsp;3 nh&#224; s&#225;ch Nh&#224; s&#225;ch Đ&#244;ng Hồ 1, Nh&#224; s&#225;ch Đ&#244;ng Hồ 2 v&#224; Nh&#224; s&#225;ch Đ&#244;ng Hồ Giồng Riềng. Hệ thống b&#225;n lẻ của C&#244;ng ty&amp;nbsp;tập trung chủ yếu tại th&#224;nh phố Rạch Gi&#225; v&#224; huyện Giồng Riềng, tỉnh Ki&#234;n Giang. C&#244;ng ty cung cấp h&#224;nh h&#243;a cho c&#225;c đại l&#253;, Ph&#242;ng Gi&#225;o dục, v&#224; c&#225;c trường rộng khắp 15 huyện, thị, th&#224;nh phố trong tỉnh Ki&#234;n Giang. Ng&#224;y 01/03/2010, KBE ch&#237;nh thức giao dịch tr&#234;n thị trường UPCOM.&lt;/DIV&gt;	01/03/2010 00:00:00	Upcom	0.0	1231060.0	0	Công ty Cổ phần Sách Thiết bị Trường học Kiên Giang	0	23267034000.0	1231060.0	16527.1256396926	0.0000000000	2887.8943568957	2887.8943568957	6.5445607298	1.1435745339	0.1058201058	120952812225.0	3555171227.0	33355426278.0	0.1723811905	0.1082462462	0.0000000000	0.6394189332
PNT	2357	Công nghiệp	Xây dựng và Vật liệu	Xây dựng và Vật liệu	Xây dựng	19/09/2005 10:11:00	92828020000.0	37	0	&lt;DIV style=&quot;FONT-FAMILY: Arial; FONT-SIZE: 10pt;&quot;&gt;C&#244;ng ty Cổ phần Kỹ thuật x&#226;y dựng Ph&#250; Nhuận (PNT) c&#243; tiền th&#226;n l&#224; Trung t&#226;m Dịch vụ Kỹ thuật X&#226;y dựng Quận Ph&#250; Nhuận, được th&#224;nh lập v&#224;o năm 1989.&amp;nbsp;C&#244;ng ty tham gia v&#224;o&amp;nbsp;lĩnh vực kinh doanh ch&#237;nh l&#224; (i) đầu tư, kinh doanh dự &#225;n bất động sản th&#244;ng qua c&#225;c dự &#225;n khu d&#226;n cư, khu đ&#244; thị mới, cao ốc v&#224; (02) thiết kế v&#224; thi c&#244;ng x&#226;y lắp c&#225;c c&#244;ng tr&#236;nh x&#226;y dựng hạ tầng kỹ thuật. PNTECHCONS c&#243; ba chi nh&#225;nh l&#224; trung t&#226;m X&#226;y dựng Vĩnh Tiến, Trung t&#226;m thiết kế An Gia v&#224; s&#224;n giao dịch bất động sản Ph&#250;c Lộc. Một số c&#244;ng tr&#236;nh ti&#234;u biểu của C&#244;ng ty l&#224; dự &#225;n khu d&#226;n cư Rạch Miễu, dự &#225;n 127 Trần Huy Liệu, Becamex Center, khu d&#226;n cư Villa Park.&lt;/DIV&gt;	12/01/2017 00:00:00	Upcom	12000.0	9282802.0	0	Công ty Cổ phần Kỹ thuật Xây dựng Phú Nhuận	0	58478313600.0	9282272.0	15343.2814943367	-0.5299695980	1225.5041226776	1225.5041226776	5.1407415801	0.4106031687	0.0793650794	51117334563.0	11376112121.0	254607006042.0	0.0803099774	0.0423412171	0.0000000000	0.7877130345
PDV	2773	Công nghiệp	Hàng & Dịch vụ Công nghiệp	Vận tải	Vận tải Thủy	20/04/2007 13:49:00	295000000000.0	240	0	&lt;DIV style=&quot;FONT-FAMILY: Arial; FONT-SIZE: 10pt;&quot;&gt;C&#244;ng ty Cổ phần Vận tải Dầu Phương Đ&#244;ng Việt (PDV) c&#243; tiền th&#226;n l&#224; C&#244;ng ty Cổ phần Vận tải Sản phẩm Dầu mỏ Phương Đ&#244;ng,&amp;nbsp;được th&#224;nh&amp;nbsp;lập&amp;nbsp; v&#224;o năm&amp;nbsp;2007. C&#244;ng ty hoạt động ch&#237;nh trong lĩnh vực cung ứng vận tải dầu sản phẩm bằng đường biển. PVTrans Oil đ&#227; đầu tư ph&#225;t triển được đội t&#224;u dầu&amp;nbsp;với trọng tải từ 8.000 DWT đến 9.000 DWT c&#243; tổng trọng tải khoảng 27.000 DWT v&#224;&amp;nbsp;sản lượng vận chuyển h&#224;ng năm b&#236;nh qu&#226;n đạt 1,3 triệu m3 xăng dầu c&#225;c loại. PDV Oil được giao dịch tr&#234;n thị trường UPCOM từ th&#225;ng 04/2017.&lt;/DIV&gt;	20/04/2017 00:00:00	Upcom	10200.0	23500000.0	0	Công ty Cổ phần Vận tải Dầu Phương Đông Việt	1	86877500000.0	29500000.0	10825.6009147119	0.2990005670	282.9067536676	282.9067536676	10.4097903702	0.2720403258	0.0000000000	940277033216.0	8690586383.0	716023557098.0	0.0265058166	0.0104192750	0.0000000000	1.3803873610
MLS	3573	Hàng Tiêu dùng	Thực phẩm và đồ uống	Sản xuất thực phẩm	Nuôi trồng nông & hải sản	07/10/2009 00:00:00	40000000000.0	97	0	&lt;DIV style=&quot;FONT-FAMILY: Arial; FONT-SIZE: 10pt;&quot;&gt;C&#244;ng ty Cổ phần Chăn nu&#244;i MITRACO (MLS) c&#243; tiền th&#226;n l&#224; C&#244;ng ty chế biến thức ăn gia s&#250;c v&#224; chăn nu&#244;i được th&#224;nh lập từ năm 2004, trực thuộc Tổng C&#244;ng ty Kho&#225;ng sản v&#224; Thương mại H&#224; Tĩnh (MITRACO). Đến năm 2007, C&#244;ng ty Chăn nu&#244;i MITRACO được th&#224;nh lập tr&#234;n cơ sở t&#225;ch C&#244;ng ty cũ th&#224;nh 2 đơn vị chuy&#234;n biệt phụ tr&#225;ch chăn nu&#244;i v&#224; chế biến thức ăn gia s&#250;c. MLS ch&#237;nh thức hoạt&amp;nbsp;động theo m&#244; h&#236;nh c&#244;ng ty cổ phần từ năm&amp;nbsp;2009. Hoạt động ch&#237;nh trong ng&#224;nh chăn nu&#244;i, C&#244;ng ty hiện nay được xem l&#224; doanh nghiệp chăn nu&#244;i lợn lớn nhất tỉnh H&#224; Tĩnh với phương thức sản xuất li&#234;n kết với c&#225;c hộ chăn nu&#244;i tr&#234;n địa b&#224;n tỉnh. C&#244;ng ty c&#243; c&#244;ng nghệ chăn nu&#244;i được chuyển giao từ Th&#225;i Lan, với m&#225;y m&#243;c thiết bị nhập khẩu từ T&#226;y Ban Nha v&#224; phần mềm quản l&#253; Chăn nu&#244;i Pig Chem 4 của Mỹ. MLS được giao dịch tr&#234;n thị trường UPCOM từ th&#225;ng 06/2018.&lt;/DIV&gt;	28/12/2016 00:00:00	Upcom	6300.0	4000000.0	197600000000.00	Công ty Cổ phần Chăn nuôi - Mitraco	0	206000000000.0	4000000.0	51.5005580000	2.1433766615	-2671.4229052500	-2671.4229052500	-19.2781157558	999.9891651659	0.0000000000	256123782000.0	-10685691621.0	111627131201.0	-1.9257495500	-0.0848147038	0.0000000000	540.8734065027
SPC	1357	Nguyên vật liệu	Hóa chất	Hóa chất	Sản phẩm hóa dầu, Nông dược & Hóa chất khác	01/09/2010 15:29:00	105300000000.0	486	0	&lt;DIV style=&quot;FONT-FAMILY: Arial; FONT-SIZE: 10pt;&quot;&gt;C&#244;ng ty Cổ phần Bảo vệ Thực vật S&#224;i G&#242;n tiền th&#226;n l&#224; Nh&#224; m&#225;y thuốc trừ s&#226;u S&#224;i g&#242;n, th&#224;nh lập năm 1989. Năm 2007, c&#244;ng ty tiến h&#224;nh cổ phần h&#243;a v&#224; chuyển sang hoạt động theo m&#244; h&#236;nh c&#244;ng ty cổ phần. Hiện tại, C&#244;ng ty c&#243; 20 đơn vị trực thuộc trong v&#224; ngo&#224;i nước; với hơn 80 sản phẩm thuốc bảo vệ thực vật được ph&#226;n phối ở 4 quốc gia Đ&#244;ng Nam &#193;. B&#234;n cạnh đ&#243; C&#244;ng ty c&#242;n cung cấp c&#225;c sản phẩm ph&#226;n b&#243;n cao cấp, giống c&#226;y trồng, n&#244;ng cụ phục vụ cho sản xuất. C&#244;ng ty đang đầu tư dự&amp;nbsp;&#225;n trại Hoa Dasar ( L&#226;m Đồng) với tổng diện t&#237;ch dự &#225;n l&#224; 19,15 ha&amp;nbsp;v&#224; số&amp;nbsp;vốn đầu tư cơ sở hạ tầng dự kiến l&#224; 60,6 tỷ đồng.&lt;/DIV&gt;	09/09/2010 00:00:00	Upcom	0.0	10530000.0	215865000000.00	Công ty Cổ phần Bảo vệ Thực vật Sài Gòn	0	215865000000.0	10530000.0	20871.0259293447	0.0653082556	3675.7062318139	3675.7062318139	5.5771595191	0.9822229185	0.0829268293	1241135286191.0	39144001172.0	609999656106.0	0.1732207430	0.0580813922	0.0000000000	1.6472649001
SWC	2773	Công nghiệp	Hàng & Dịch vụ Công nghiệp	Vận tải	Vận tải Thủy	21/03/2011 09:13:00	671000000000.0	371	0	"&lt;DIV style=&quot;FONT-FAMILY: Arial; FONT-SIZE: 10pt;&quot;&gt;
&lt;P class=MsoNormal&gt;Tổng C&#244;ng ty cổ phần Đường s&#244;ng Miền Nam(SOWATCO), c&#243; tiền th&#226;n l&#224; Cục Đường s&#244;ng Miền Nam, được th&#224;nh lập v&#224;o năm 1975. V&#224;o th&#225;ng 6/2009, SOWATCO ch&#237;nh thức hoạt động theo m&#244; h&#236;nh c&#244;ng ty cổ phần. Tổng C&#244;ng ty hoạt động trong lĩnh vực vận tải đường thủy, khai th&#225;c cảng, xếp dỡ h&#224;ng h&#243;a v&#224; cơ kh&#237; sửa chữa đ&#243;ng t&#224;u. SOWATCO sở hữu đội t&#224;u chuy&#234;n d&#249;ng lai dắt v&#224; hỗ trợ t&#224;u biển c&#244;ng suất từ 750 HP đến 4.000 HP, đội 20 salan tự h&#224;nh chở container c&#225;c loại từ 112 TEU đến 250 TEU, salan, ponton c&#225;c loại trọng tải từ 350 đến 2.400 tấn v&#224; đội xe vận tải chuy&#234;n dụng. &lt;?xml:namespace prefix = &quot;o&quot; ns = &quot;urn:schemas-microsoft-com:office:office&quot; /&gt;&lt;o:p&gt;&lt;/o:p&gt;&lt;/P&gt;&lt;/DIV&gt;"	29/04/2011 00:00:00	Upcom	0.0	67100000.0	972950000000.00	Tổng Công ty Cổ phần Đường Sông Miền Nam	1	983618900000.0	67100000.0	15309.1144385097	0.4027832643	1499.3728617735	1499.3728617735	9.7767542509	0.9575341578	0.0000000000	345784041479.0	69148343295.0	1312366443707.0	0.1026014212	0.0792805360	0.0000000000	0.2698434047
PVM	2797	Công nghiệp	Hàng & Dịch vụ Công nghiệp	Tư vấn & Hỗ trợ Kinh doanh	Nhà cung cấp thiết bị	01/03/2010 10:29:00	386386000000.0	70	0	&lt;DIV style=&quot;FONT-FAMILY: Arial; FONT-SIZE: 10pt;&quot;&gt;C&#244;ng ty cổ phần M&#225;y – Thiết bị dầu kh&#237; (PV MACHINO) được th&#224;nh lập được th&#224;nh lập tr&#234;n cơ sở hợp nhất Tổng C&#244;ng ty Xuất nhập khẩu M&#225;y v&#224; Tổng C&#244;ng ty Thiết bị Phụ t&#249;ng v&#224;o ng&#224;y 02/03/1992. PV MACHINO chuy&#234;n cung cấp vật tư, thiết bị, lắp đặt, vận h&#224;nh cho c&#225;c c&#244;ng tr&#236;nh trong v&#224; ngo&#224;i ng&#224;nh Dầu kh&#237;. L&#224; th&#224;nh vi&#234;n của Tập đo&#224;n Dầu kh&#237; Việt Nam, PV MACHINO c&#243; điều kiện thuận lợi tham gia v&#224;o chuỗi cung ứng của Tập đo&#224;n. C&#244;ng ty đ&#227; tham gia một số dự &#225;n lớn của Tập đo&#224;n như Viện Dầu Kh&#237;, c&#225;c c&#244;ng tr&#236;nh kh&#225;c của Tổng C&#244;ng ty X&#226;y lắp Dầu kh&#237; (PVC), Tổng C&#244;ng ty Cổ phần Dịch vụ Kỹ Thuật Dầu kh&#237; Việt Nam (PTSC). &lt;/DIV&gt;	20/12/2016 00:00:00	Upcom	10700.0	38638600.0	0	Công ty Cổ phần Máy - Thiết bị Dầu khí	1	556395840000.0	38638600.0	12051.5349118757	1.5378520519	1007.1464651928	1007.1464651928	14.2978211190	1.1948685462	0.0694444444	1660695641178.0	43032480065.0	658953820012.0	0.0811798881	0.0578456310	0.0000000000	0.3405962144
QTP	7535	Tiện ích Cộng đồng	Điện, nước & xăng dầu khí đốt	Sản xuất & Phân phối Điện	Sản xuất & Phân phối Điện	16/12/2002 11:40:00	4500000000000.0	877	0	&lt;DIV style=&quot;FONT-FAMILY: Arial; FONT-SIZE: 10pt;&quot;&gt;C&#244;ng ty Cổ phần Nhiệt điện Quảng Ninh (QTP)&amp;nbsp;được th&#224;nh lập v&#224;o năm 2002 với c&#225;c cổ đ&#244;ng s&#225;ng lập gồm Tổng C&#244;ng ty Điện lực Việt Nam (EVN), Tổng C&#244;ng ty Than – Kho&#225;ng Sản Việt Nam (TKV), Tổng C&#244;ng ty Cơ kh&#237; X&#226;y Dựng (COMA), Tổng C&#244;ng ty Xuất Nhập khẩu X&#226;y dựng Việt Nam (VINACONEX) v&#224; Tổng C&#244;ng ty Lắp m&#225;y Việt Nam (LILAMA).&amp;nbsp;C&#244;ng ty hoạt động ch&#237;nh&amp;nbsp;trong lĩnh vực đầu tư x&#226;y dựng, quản l&#253; vận h&#224;nh nh&#224;&amp;nbsp;m&#225;y nhiệt&amp;nbsp;điện, sản xuất, truyền tải v&#224; ph&#226;n phối điện năng. QTP hiện đang quản l&#253; vận h&#224;nh 04 tổ m&#225;y ph&#225;t điện thuộc Dự &#225;n Nhiệt điện Quảng Ninh 1 v&#224; Dự &#225;n Nhiệt điện Quảng Ninh 2 với tổng c&#244;ng suất 1.200MW. Ngo&#224;i ra, C&#244;ng ty c&#242;n tham gia b&#225;n bu&#244;n vật liệu, thiết bị lắp đặt kh&#225;c trong x&#226;y dựng, sản xuất b&#234; t&#244;ng, v&#244;i v&#224; thạch cao, v&#224; x&#226;y dựng c&#244;ng tr&#236;nh kỹ thuật d&#226;n dụng kh&#225;c. QTP được giao dịch tr&#234;n thị trường UPCOM từ th&#225;ng 03/2017.&lt;/DIV&gt;	16/03/2017 00:00:00	Upcom	11400.0	450000000.0	4860000000000.00	Công ty Cổ phần Nhiệt điện Quảng Ninh	1	4860000000000.0	450000000.0	10540.4082298244	0.3778723569	774.8738641600	774.8738641600	13.9377523227	1.0246282463	0.0000000000	10126639709220.0	650986967996.0	9647110076832.0	0.0721434860	0.0336778610	0.0000000000	1.0338891934
