ticker	ticker_name_english	marketcap	T01	T02	T03	T04	T05	T06	T07	T08	T09	T10	T11	T12	gics_sector	year_accumulated_return
APP	Additives and Petroleum Products JSC	16	-1.59	NA	NA	0	-13.73	-15.91	0	-8.57	12.9	-2.94	NA	NA	Energy	-28.47
ASP	An Pha Petrol JSC	203	-2.92	-9.71	-19.67	8.16	3.25	-1.46	-9.47	16	3.25	-11.18	-0.18	NA	Energy	-25.51
BSR	Binh Son Refining and Petrochemical JSC	20975	-7.32	0	-36.84	20	5.08	9.52	-15.71	6.56	5.97	-8.22	0	NA	Energy	-29.38
GSP	International Gas Product Shipping JSC	403	8.95	-7.91	-9.11	-2.98	1.01	0.97	-1.81	11.7	3.81	2.69	6.51	NA	Energy	12.37
NBC	Vinacomin - Nui Beo Coal JSC	192	-3.06	3.16	-13.57	-1.71	8.72	1.6	-5.26	0	-3.57	-5.45	-5.56	NA	Energy	-23.45
PGS	Southern Gas Trading JSC	725	4.1	-27.33	-26.44	23.35	-7.83	-13.32	-14.85	9.41	11.03	-5.3	0	NA	Energy	-46.28
PJT	Petrolimex Joint Stock Tanker Company	160	12.71	-12.16	-5.6	0	14.72	0	9.82	-0.96	2	2.94	-0.95	NA	Energy	21.28
PVB	PetroVietnam Coating JSC	309	-6.57	-6.78	-50	75.07	0.76	8.41	-11.94	23.44	-2.03	-17.65	2.14	NA	Energy	-25.4
PVT	PetroVietNam Transportation Corporation	3884	-17.37	-5.7	-35.92	21.51	12.44	-3.2	-11.79	20.83	13.03	-3.31	2.99	NA	Energy	-20.78
PXS	Petroleum Equipment Assembly And Metal Structure JSC	322	-5.85	-10.18	-47.23	40.73	19.72	16.67	-10.79	10.59	10.18	-4.68	2.09	NA	Energy	-7.21
DAC	Dong Anh Ceramic Joint -Stock Company	2	NA	NA	NA	-27.5	-34	13.79	-10.34	158.62	-56	-10.34	NA	NA	Materials	-50.19
DNP	Dong Nai Plastics JSC	1980	1.69	5.71	-3.78	-7.87	0	-0.59	7.69	-2.7	0	-1.64	0	NA	Materials	-2.37
HAI	HAI AGROCHEM JSC	521	-19.6	4.96	-3.37	7.25	10.87	-7.95	-31.15	12.71	-0.37	8.61	-3.72	NA	Materials	-27.84
NFC	Ninh Binh Phosphate Fertilizer JSC	124	NA	NA	NA	NA	NA	NA	NA	NA	NA	41.07	NA	NA	Materials	41.07
NSH	Song Hong Aluminum JSC	43	-5.56	-6.25	-26.67	0	0	7.14	-20	46.15	0	-5	10.53	NA	Materials	-14.6
PDB	Dufago Construction Materials Corporation	62	-3.23	-6.14	-11.73	6.44	-6.98	-3.75	-15.19	1.52	4.41	4.29	6.06	NA	Materials	-24.03
QBS	Quang Binh Import And Export JSC	146	-10.96	-6.4	-23.18	9.6	33.51	-2.65	-18.65	8.92	0.43	-6.9	0	NA	Materials	-24.44
STP	Song Da Industry Trade JSC	55	9.05	25.73	-26.05	6.7	3.28	-1.61	2.99	-12	10	4.62	1.61	NA	Materials	16.51
TBX	Thai Binh Cement JSC	34	NA	-9.72	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Materials	-9.72
ARM	General Aviation Import Export JSC	48	NA	-8.62	NA	NA	NA	NA	-9.33	-9.21	NA	NA	NA	NA	Industrials	-24.78
CLM	Vinacomin - Coal Import Export JSC	258	NA	NA	NA	2.78	-12.38	-5.88	-9.77	11.54	-1.15	24.34	NA	NA	Industrials	4.85
