<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
DIG,20170731,15.30,15.30,15.00,15.00,676320,15.30,15.30,15.00,15.00,0,0,0
DIG,20170728,14.80,15.40,14.60,15.20,822190,14.80,15.40,14.60,15.20,0,0,40
DIG,20170727,15.10,15.20,14.85,15.00,552690,15.10,15.20,14.85,15.00,0,1500,0
DIG,20170726,14.90,15.30,14.85,15.05,437520,14.90,15.30,14.85,15.05,0,0,0
DIG,20170725,14.05,14.90,14.05,14.90,564060,14.05,14.90,14.05,14.90,0,20000,200
DIG,20170724,14.00,14.50,13.90,14.25,646330,14.00,14.50,13.90,14.25,0,0,200
DIG,20170721,15.00,15.05,14.20,14.40,1504430,15.00,15.05,14.20,14.40,0,65940,0
DIG,20170720,15.15,15.15,15.00,15.05,583580,15.15,15.15,15.00,15.05,0,0,300
DIG,20170719,15.10,15.30,15.00,15.15,506130,15.10,15.30,15.00,15.15,0,2000,0
DIG,20170718,15.10,15.35,15.10,15.20,712930,15.10,15.35,15.10,15.20,0,0,0
DIG,20170717,14.90,15.45,14.90,15.20,1099050,14.90,15.45,14.90,15.20,0,0,0
DIG,20170714,15.10,15.20,15.00,15.05,675710,15.10,15.20,15.00,15.05,0,19690,0
DIG,20170713,15.00,15.35,14.95,15.10,948680,15.00,15.35,14.95,15.10,0,0,0
DIG,20170712,15.50,15.50,15.00,15.05,1480160,15.50,15.50,15.00,15.05,0,10200,1000
DIG,20170711,15.50,15.65,15.00,15.40,750280,15.50,15.65,15.00,15.40,20000,10200,1000
DIG,20170710,15.30,15.50,14.80,15.50,1616450,15.30,15.50,14.80,15.50,0,57200,0
DIG,20170707,15.95,15.95,15.00,15.40,1352550,15.95,15.95,15.00,15.40,0,15580,1000
DIG,20170706,15.75,16.10,15.75,15.95,871840,15.75,16.10,15.75,15.95,0,6700,100
DIG,20170705,15.60,16.10,15.40,15.75,958830,15.60,16.10,15.40,15.75,0,20000,1000
DIG,20170704,15.60,15.70,15.40,15.65,965770,15.60,15.70,15.40,15.65,80000,20210,0
DIG,20170703,15.45,15.85,15.35,15.80,742790,15.45,15.85,15.35,15.80,0,1000,0
DIG,20170630,15.70,15.95,15.35,15.60,954150,15.70,15.95,15.35,15.60,0,1000,290
DIG,20170629,14.90,15.60,14.90,15.60,2896350,14.90,15.60,14.90,15.60,1253060,5130,2100
DIG,20170628,14.30,14.70,14.30,14.60,1500070,14.30,14.70,14.30,14.60,0,0,1000
DIG,20170627,14.15,14.70,14.10,14.35,1078330,14.15,14.70,14.10,14.35,0,200,0
DIG,20170626,14.25,14.40,14.10,14.15,753190,14.25,14.40,14.10,14.15,1120000,200,0
DIG,20170623,14.05,14.60,13.90,14.25,1099470,14.05,14.60,13.90,14.25,20000,0,2000
