<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
NTL,20170731,10.40,10.40,9.90,10.00,349340,10.40,10.40,9.90,10.00,0,0,630
NTL,20170728,10.10,10.60,10.10,10.30,610580,10.10,10.60,10.10,10.30,0,0,33310
NTL,20170727,9.98,10.15,9.98,10.10,851390,9.98,10.15,9.98,10.10,0,1000,0
NTL,20170726,9.77,10.00,9.77,9.98,547470,9.77,10.00,9.77,9.98,0,0,0
NTL,20170725,9.75,9.80,9.72,9.77,124140,9.75,9.80,9.72,9.77,0,0,2000
NTL,20170724,9.75,9.84,9.70,9.75,438610,9.75,9.84,9.70,9.75,0,226770,0
NTL,20170721,9.72,9.80,9.71,9.74,180940,9.72,9.80,9.71,9.74,0,0,0
NTL,20170720,9.80,9.80,9.71,9.72,135050,9.80,9.80,9.71,9.72,0,19350,0
NTL,20170719,9.73,9.82,9.73,9.80,256610,9.73,9.82,9.73,9.80,0,106140,3000
NTL,20170718,9.80,9.80,9.70,9.72,175490,9.80,9.80,9.70,9.72,0,1000,2520
NTL,20170717,10.00,10.05,9.80,9.80,445870,10.00,10.05,9.80,9.80,0,0,3170
NTL,20170714,9.86,9.98,9.86,9.90,91050,9.86,9.98,9.86,9.90,0,0,4000
NTL,20170713,10.00,10.00,9.85,9.99,181460,10.00,10.00,9.85,9.99,0,64550,50
NTL,20170712,9.90,10.15,9.76,10.00,256620,9.90,10.15,9.76,10.00,0,76270,1200
NTL,20170711,9.65,9.80,9.65,9.80,352020,9.65,9.80,9.65,9.80,0,76270,1200
NTL,20170710,9.88,9.90,9.66,9.67,260470,9.88,9.90,9.66,9.67,0,15500,0
NTL,20170707,10.10,10.10,9.88,9.88,249410,10.10,10.10,9.88,9.88,0,2000,0
NTL,20170706,10.05,10.30,10.05,10.10,209230,10.05,10.30,10.05,10.10,0,1080,3000
NTL,20170705,9.80,10.30,9.80,10.15,397440,9.80,10.30,9.80,10.15,0,19560,4000
NTL,20170704,9.90,9.92,9.75,9.80,178260,9.90,9.92,9.75,9.80,0,77650,18040
NTL,20170703,9.84,9.99,9.84,9.90,195020,9.84,9.99,9.84,9.90,0,11000,0
NTL,20170630,9.82,9.90,9.81,9.85,251790,9.82,9.90,9.81,9.85,0,0,4000
NTL,20170629,9.65,9.88,9.65,9.88,887220,9.65,9.88,9.65,9.88,0,1000,19000
NTL,20170628,9.65,9.70,9.65,9.65,155750,9.65,9.70,9.65,9.65,0,0,0
NTL,20170627,9.70,9.82,9.66,9.68,259510,9.70,9.82,9.66,9.68,0,0,6500
NTL,20170626,9.70,9.75,9.65,9.66,107930,9.70,9.75,9.65,9.66,0,0,6500
NTL,20170623,9.65,9.78,9.65,9.72,595630,9.65,9.78,9.65,9.72,0,94200,20000
NTL,20170622,9.78,9.85,9.75,9.78,216970,9.78,9.85,9.75,9.78,0,99430,6000
NTL,20170621,9.86,9.86,9.70,9.78,365050,9.86,9.86,9.70,9.78,0,241030,40
NTL,20170620,9.91,9.92,9.81,9.86,285850,9.91,9.92,9.81,9.86,0,121710,21240
NTL,20170619,9.90,10.00,9.90,9.91,328710,9.90,10.00,9.90,9.91,0,5000,22390
NTL,20170616,9.80,9.89,9.74,9.86,570970,9.80,9.89,9.74,9.86,0,20160,20
NTL,20170615,9.62,9.88,9.62,9.70,995270,9.62,9.88,9.62,9.70,0,89030,32670
NTL,20170614,9.65,9.70,9.60,9.62,184530,9.65,9.70,9.60,9.62,0,0,3330
NTL,20170613,9.51,9.68,9.51,9.60,479080,9.51,9.68,9.51,9.60,0,38790,20000
NTL,20170612,9.80,9.80,9.50,9.52,637680,9.80,9.80,9.50,9.52,0,46360,0
NTL,20170609,9.77,9.93,9.76,9.80,346180,9.77,9.93,9.76,9.80,0,20130,10
NTL,20170608,9.52,9.95,9.51,9.77,783530,9.52,9.95,9.51,9.77,0,8610,140
NTL,20170607,9.50,9.61,9.46,9.54,1547210,9.50,9.61,9.46,9.54,0,7800,10
NTL,20170606,9.85,9.85,9.69,9.70,810110,9.85,9.85,9.69,9.70,0,530,10000
NTL,20170605,10.10,10.10,9.85,9.85,413270,10.10,10.10,9.85,9.85,0,0,29000
NTL,20170602,10.15,10.15,9.90,10.10,422330,10.15,10.15,9.90,10.10,0,9920,12000
NTL,20170601,10.10,10.15,10.00,10.10,365070,10.10,10.15,10.00,10.10,0,10,0
NTL,20170531,10.10,10.15,10.00,10.10,390940,10.10,10.15,10.00,10.10,0,410,10000
NTL,20170530,10.25,10.40,10.10,10.10,583260,10.25,10.40,10.10,10.10,0,20,14200
NTL,20170529,10.20,10.30,10.15,10.25,611310,10.20,10.30,10.15,10.25,0,200,1600
NTL,20170526,10.25,10.35,10.05,10.20,498950,10.25,10.35,10.05,10.20,0,20,2600
NTL,20170525,10.25,10.35,10.10,10.25,842370,10.25,10.35,10.10,10.25,0,30,0
NTL,20170524,10.00,10.25,10.00,10.05,299460,10.00,10.25,10.00,10.05,0,220,0
NTL,20170523,10.10,10.25,9.99,10.00,890160,10.10,10.25,9.99,10.00,0,0,50000
NTL,20170522,10.25,10.40,10.10,10.10,632510,10.25,10.40,10.10,10.10,0,200,19820
NTL,20170519,10.15,10.35,10.15,10.30,358980,10.15,10.35,10.15,10.30,0,0,0
NTL,20170518,10.55,10.55,10.15,10.20,873490,10.55,10.55,10.15,10.20,0,110,20000
NTL,20170517,10.55,10.60,10.20,10.55,610530,10.55,10.60,10.20,10.55,0,0,0
NTL,20170516,10.95,11.00,10.55,10.55,1052200,10.95,11.00,10.55,10.55,0,30100,73000
NTL,20170515,10.60,11.00,10.60,10.95,1917650,10.60,11.00,10.60,10.95,0,2700,13000
